编号,标准问题,答案,所属分类
167,不起诉案件公开审查主要审查什么？,人民检察院主要就案件拟作不起诉处理听取侦查机关（部门），犯罪嫌疑人及其法定代理人、辩护人，被害人及其法定代理人、诉讼代人的意见。案件承办人应当根据案件证据，依照法律的有关规定，阐述不起诉的理由，但不需要出示证据。参加公开审查的侦查人员，犯罪嫌疑人及其法定代理人、辩护人，被害人及其法定代理人、诉讼代理人可以就案件事实、证据、适用的法律以及是否应予不起诉，各自发表意见，但不能直接进行辩护。第十三部分刑事案件普通程序简化审和简易程序,检务公开
168,刑事案件普通程序简化审的适用范围有哪些？,被告人对被指控的基本犯罪事实无异议，并自愿认罪的第一审公诉案件，一般适用普通程序简化审审理。对于指控被告人犯数罪的案件，被告人认罪的部分，也可以适用普通程序简化审审理。具体来说，刑事案件普通程序简化审应当具备三个条件：一是事实清楚、证据充分，二是被告人及辩护人对所指控的基本犯罪事实没有异议，三是依法可能判处三年以下有期徒刑、拘役、管制或者单处罚金。人民法院对自愿认罪的被告人，酌情予以从轻处罚,检务公开
169,刑事案件普通程序简化审的适用程序是什么？,人民检察院认为符合适用刑事案件普通程序简化审审理的案件，可以在提起公诉时书面建议人民法院适用刑事案件普通程序简化审审理。对于人民检察院没有建议适用刑事案件普通程序简化审审理的公诉案件，人民法院经审查认为可以适用刑事案件普通程序简化审审理的，应当征求人民检察院、被告人及其辩护人的意见，人民检察院、被告人及其辩护人同意的，适用刑事案件普通程序简化审审理。,检务公开
170,刑事案件普通程序简化审在审理中可以简化哪些内实行刑事案件普通程序简化审，目的是减少当事人诉累，节约诉讼资源·，但前提是确保公平公正，确保当事人的合法权益。刑事案件普通程序简化审在审理中可以简化的内容主要有：一是被告人可以不再就起诉书指控的犯罪事实进行供述；二是公诉人、辩护人、审判人员对被告人的讯问、发问可以简化或者省略；三是控辩双方对无异议的证据，可以仅就证据的名称及所证明的事项作出说明，合议庭经确认公诉人、被告人、辩护人无异议的，可以当庭予以认证；四是控辩双方主要围绕确定罪名、量刑及其他有争议的问题进行辩论。,,检务公开
171适用简易程序审理的刑事公诉案件，人民检察院是否必须派员出庭？,适用简易程序审理的刑事公诉案件，人民检察院可以不派员出庭。但是，两种情况除外：一是人民检察院监督公安机关立案侦查的案件，二是人民检察院认为有必要派员出庭的案第十四部分民事行政抗诉案件办案规则,,检务公开
172,人民检察院受理不服人民法院民事、行政判决、裁定的申诉的条件有哪些？,当事人向人民检察院提出申诉，应当提交申诉书、人民法院生效的裁判文书以及证明其申诉主张的证据材料。经人民检察院审查后，符合下列条件的申诉应予受理：人民法院的判决、裁定已经发生法律效力，有具体的申诉理由和请求。民事、行政申诉案件统一由各级人民检察院控告申诉检察部门受理。,检务公开
173,人民检察院不予受理的民事、行政申诉案件有哪些？,下列民事、行政申诉案件，人民检察院不予受理：．人民法院的判决、裁定尚未发生法律效力的。.判决解除婚姻或者收养等人身关系的。．当事人已向人民法院申请再审，人民法院已经受理、立案审查的；人民法院已经裁定再审的。.当事人对人民检察院所作的终止审查或者不抗诉决定不服，再次提出申诉的。.裁判发生法律效力后两年内，当事人无正当理由未曾向人民法院申请再审或向有关机关申诉的。.不属于人民检察院管辖的其他情形。,检务公开
174,当事人申诉时应提交哪些材料？,当事人申诉时应提交以下材料：．人民法院一、二审或再审判决、裁定书。.申诉书（写明申诉理由、事实和依据，委托申诉的还应提交委托代理书）。．申诉证据材料或相关证据的线索。.已向人民法院申请过再审被驳回的，应提交相关通知书。申诉材料不齐全的，应告知当事人备齐材料后申诉，并了解申诉人是否已向人民法院申请再审等情况。,检务公开
175,人民检察院受理民事、行政申诉案件后应当如何处理？,对民事、行政申诉案件，人民检察院控告申诉检察部门应当自受理之日起七日内分别情况作出处理：．不服同级或者下一级人民法院生效民事、行政判决、裁定的，移送本院民事行政检察部门审查处理。下级人民检察院有抗诉权的，转下级人民检察院审查处理；下级人民检察院有抗诉权的案件，上级人民检察院认为案情复杂或者在本辖区有重大影响的，可以直接受理。．依法属于人民法院或者其他机关主管范围的，移送人民法院或者其他机关处理。,检务公开
176,民事、行政抗诉案件的立案条件有哪些要求？,民事、行政抗诉案件，由有抗诉权或者有提请抗诉权的人民检察院立案。有下列情形之一的，人民检察院应当自受理之日起三十日内立案：．原判决、裁定认定事实的主要证据可能不足的。．原判决、裁定适用法律可能错误的。.原审人民法院违反法定程序，可能影响案件正确判决、裁定的。.有证据证明审判人员在审理案件时有贪污受贿、徇私舞弊或者枉法裁判行为的。,检务公开
177,天民检察院审查民事、行政抗诉案件应遵循哪些要求？,人民检察院审查民事、行政抗诉案件应遵循以下要求：．应当就原审案卷进行审查。.确有必要时，可以进行调查，调查活动应当由两名以上检察人员共同进行，调查材料应当由调查人、被调查人、记录人签名或者盖章。．人民检察院认为申诉人应当提供证据材料证明其申诉主张的，可以要求申诉人在指定的期限内提交证据材料。申诉人逾期无故不提交证据材料的，视为撤回申诉。对当事人提供的证据原件，人民检察院应当出具收据。,检务公开
178,人民检察院终止审查民事、行政抗诉案件的条件有哪些？,人民检察院在审查民事、行政抗诉案件中，发生下列情形之一的，应当终止审查：．申诉人撤回申诉，且不损害国家利益和社会公共利益的。人民法院已经裁定再审的。．当事人自行和解的。.应当终止审查的其他情形。人民检察院决定终止审查的案件，应当向当事人送达《终止审查决定书》。,检务公开
179,人民检察院决定不抗诉的民事、行政案件应当如何处理？,人民检察院决定不抗诉的民事、行政案件应当分别情况作出处理：直接受理的民事、行政案件，应当制作《不抗诉决定书》，通知当事人；下级人民检察院提请抗诉的案件，应当制作《不抗诉决定书》，送达提请抗诉的人民检察院，由提请抗诉的人民检察院通知当事人。,检务公开
180,人民检察院如何提请抗诉民事、行政案件？,地方各级人民检察院对同级人民法院已经发生法律效力的判决、裁定，经审查认为符合抗诉条件的，应当提请上一级人民检察院抗诉。对下级人民检察院提请抗诉的民事、行政案件，上级人民检察院应当在三个月内审查终结，并依法做出抗诉或者不抗诉决定。需要延长审查期限的，由检察长批准。人民检察院提请抗诉民事、行政案件，应当制作《提请抗诉报告书》，并将审判卷宗、检察卷宗报上级人民检察院。,检务公开
181,哪些人民检察院有权对民事、行政案件提出抗诉？,最高人民检察院对各级人民法院的生效民事或行政判决、裁定，有权提出抗诉；上级人民检察院对下级人民法院的生效民事或行政判决、裁定，有权提出抗诉。人民检察院提出抗诉，由检察长批准或者检察委员会决定。,检务公开
182,人民法院开庭审理民事、行政抗诉案件时，人民检察院应否派员出庭？,人民法院开庭审理民事、行政抗诉案件时，人民检察院应当派员出席再审法庭。受理抗诉的人民法院指令下级人民法院再审的，提出抗诉的人民检察院可以指令再审人民法院的同级人民检察院派员出席再审法庭。人民法院就抗诉案件做出再审判决、裁定以后，提出抗诉的人民检察院应当对再审判决、裁定进行审查，并填写《抗诉再审判决（裁定）登记表》。第十五部分申诉须知及刑事申诉案件公开审查程序规定,检务公开
183,人民检察院受理申诉的范围有哪些？,人民检察院管辖的申诉包括对人民检察院诉讼终结的刑事处理决定以及对人民法院已经发生法律效力的刑事、民事、行政判决、裁定不服的申诉。,检务公开
184,县级人民检察院管辖哪些申诉案件？,县级人民检察院管辖的申诉案件有两类：一是不服本院决定的申诉（另有规定的除外），二是不服同级人民法院已经发生法律效力的刑事、民事、行政判决、裁定的申诉。,检务公开
185,省、市级人民检察院管辖哪些申诉案件？,省、市级人民检察院管辖的申诉案件主要有四类：一是不服本院决定的申诉（另有规定的除外）#二是被害人不服下一级人民检察院不起诉决定，在七日内提出的申诉；三是不服下一级人民检察院复查决定的申诉；四是不服同级和下级人民法院已经发生法律效力的刑事、民事、行政判决、裁定的申诉。,检务公开
186,控告申诉工作首办责任制的具体内容是什么控告申诉工作首办责任制，是指各级检察机关按照法律规定的管辖范围，认真办理属于本级人民检察院管辖的控告、举报、申诉、赔偿案件，严格责任，负责到底，将问题解决在基层，解决在首次办理环节的一种工作制度。实行控告申诉工作首办责任制，是检察机关落实执法为民要求的具体体现，是维护人民群众利益，解决群众告状难、申诉难问题的重大措施。首次办理属于本院管辖的控告、举报、申诉、赔偿案件的检察机关、业务部门、承办人，分别是首办责任单位、首办责任部门、首办责任人。检察长、主管检察长和部门负责人对案件负首办领导责任，承办人员负首办直接责任。,,检务公开
187,适用公开审查程序的刑事申诉案件有哪些？,适用公开审查程序的刑事申诉案件主要有五类：一是不服人民检察院不批准逮捕决定的申诉；二是不服人民检察院不起诉决定的申诉；三是不服人民检察院撤销案件决定的申诉；四是不服人民检察院其他处理决定的申诉；五是不服人民法院已执行完毕的刑事判决、裁定的申诉以及被害人不服人民法院已经发生法律效力且尚在执行中的刑事判决、裁定的申诉。,检务公开
188,刑事申诉案件公开审查听证会由哪些人员组成？,刑事申诉案件公开审查听证会的组成人员主要包括：案件承办人、书记员，申诉人及其诉讼代理人，听证员以及其他与案件有关人员。参加听证会的申诉人主要是指原案当事人，也可以是原案当事人的法定代理人或者近亲属。申诉人可以委托律师或者其他诉讼代理人一同出席听证会。听证员由人民检察院根据案件的具体情况，聘请与案件没有利害关系的专家、学者、人大代表、政协委员或者其他社会人士担任。每次听证会聘请的听证员为三人以上的单数，听证员多数人的意见应当作为人民检察院对案件做出复查决定的重要依据。,检务公开
189,听证会的程序有哪些？,听证会的程序主要有八项：一是听证会开始前，书记员应当查明案件承办人、听证员、申诉人及其他应当参加听证会的人员是否到场，并向主持人报告；二是主持人宣布听证会开始及案由、参加听证会到场人员名单、申诉人在听证会上享有的权利和承担的义务、听证会纪律，介绍申诉人的基本情况，宣读原处理决定和原复查决定；三是申诉人陈述申诉理由，申诉人委托的诉讼代理人可以就申诉人的陈述作补充说明；四是原案件承办人或原复查案件承办人针对申诉人的申诉理由阐述原处理决定或原复查决定认定的事实和法律依据，并展示相关的证据；五是在主持人主持下，申诉人及其诉讼代理人、原案件承办人或原复查案件承办人可以互相发问或者作补充发言，复查案件承办人可以向申诉人和原案件承办人或原复查案件承办人提问；六是主持人请听证员向申诉人、原案件承办人或原复查案件承办人提问，听证员可以就案件某一事实和证据发表意见，但不就案件的法律适用及处理发表意见；七是主持人宣布休会，组织听证员根据听证的事实对案件进行评议；八是主持人宣布听证会重新开始，由听证员代表宣布听证员通过表决产生的听证意见，主持人宣布复查决定另行宣告，听证会结束。第十六部分职务犯罪预防工作,检务公开
190,党的十七大提出的反腐败方针是什么？,党的十七大提出的反腐败方针是：坚持标本兼治、综合治理、惩防并举、注重预防的方针，扎实推进惩治和预防腐败体系建设，在坚决惩治腐败的同时，更加注重治本，更加注重预防，更加注重制度建设，拓展从源头上防治腐败工作领域。,检务公开
191,检察机关开展职务犯罪预防的目的是什么？,检察机关开展职务犯罪预防的目的，就是通过惩治犯罪特殊预防和法制宣传、检察建议、同步监督等一般预防，促进发案单位、发案行业完善相关制度，规范权力行使，促进国家机关及其工作人员依法行政、廉洁从政，服务经济发展，维护社会稳定，促进社会和谐。具体来说，就是“推动建立三个防线”，即推动提高国家工作人员法制观念、道德修养和文明素质，建立思想防线；推动体制、机制、法制建设，建立制度和法制防线；推动有关单位、部门加强管理，强化监督，建立监督管理防线。,检务公开
192,检察机关开展职务犯罪预防的基本原则是什么？,检察机关开展职务犯罪预防的基本原则有五个，即坚持标本兼治的方针；坚持党的领导，依靠社会力量和群众参与；坚持服务党和国家工作大局；坚持立足检察职能；坚持实事求是。,检务公开
193,检察机关开展职务犯罪预防的主要形式有哪些？,检察机关开展职务犯罪预防的主要形式有特殊预防和一般预防两个疠面。特殊预防就是依法查办贪污贿赂、渎职侵权职务犯罪案件，形成威慑效应。一般预防主要有六种形式：是结合查办的具体案件开展的个案预防；二是与有关行业、主管部门联合开展的行业系统预防；三是参与重大基础设施建设开展的同步预防；四是提供法律咨询、宣传法律知识、运用典型案例开展的教育预防；五是围绕职务犯罪发生的原因、特点、趋势、预防对策进行调研，提出决策参考的调研预防；六是推动有关部门、单位建立、完善、落实相关制度、措施的制度预防。实际工作中，每一种形式都不是孤立存在的，往往是多种形式并用，共同发挥作用。,检务公开
194,什么是职务犯罪预防调查？,职务犯罪预防调查，是指检察机关职务犯罪预防部门为了准确把握职务犯罪的原因、条件、特点和规律，寻求有效的治理对策，针对一定领域、系统、单位权力运行中容易发生职务犯罪的环节而实施的实证研究、综合分析等有关调查活动。其目的是及时发现和研究导致职务犯罪发生的体制、机制和管理监督方面的原因，把握职务犯罪的变化趋势和发案规律，向有关部门、单位提出预防建议和对策，帮助建立健全长效机制。,检务公开
195,职务犯罪预防调查主要针对哪些情形开展？,职务犯罪预防调查主要针对以下五种情形开展：一是已经发生或者多次发生职务犯罪的行业和单位，二是社会舆论反映强烈、存在严重职务犯罪隐患的行业和单位，三是权力集中、资金密集、垄断性强、容易发生职务犯罪的单位和行业，四是重大工程建设项目和开展重大活动所涉及的领域，五是其他需要调查的情形。,检务公开
196,开展职务犯罪预防调查的主要程序有哪些？,开展职务犯罪预防调查一般按下列程序进行：一是审批，二是制订调查方案，三是收集相关实证、实例、统计资料、财务数据等资料，四是拟写调查报告，五是调查报告的使用。,检务公开
197,开展职务犯罪预防调查的期限是如何规定的？,职务犯罪预防调查应当自调查方案批准之日起两个月内办结，情况复杂的不得超过三个月；因特殊情况需要延长时间的，需报上级检察院批准。对上级检察机关批办要结果的调查项目应当在三个月内书面报告结果，有其他特殊时限要求的应当在要求时限内上报调查情况或结果。,检务公开
198,开展职务犯罪预防调查中发现的问题应如何处理？,开展职务犯罪预防调查中发现的问题，应根据问题的性质分别处理。一是对预防调查中发现的应当由检察机关以外的其他部门管辖的案件或事项，应制作《预防调查材料移送函》，经主管检察长或检察长批准，将相关材料和调查结论一并移送相关部门。二是对预防调查中发现涉嫌职务犯罪的线索，应移送检察机关相关部门处理。三是对预防调查中发现的其他问题，经主管检察长或检察长批准，预防职务犯罪部门可以作如下处置：向有关单位或部门发出预防职务犯罪建议，制发纠正违法通知书，开展预防咨询。,检务公开
199,检察人员在开展职务犯罪预防调查时有哪些禁止性要求？,在开展职务犯罪预防调查时，检察人员应当严格遵守检察工作纪律和检察人员行为准则，不准干预有关行业和单位正常管理活动，不准干预市场主体合法经营行为，不准为单位或者个人谋取私利，不准对调查中涉及的个人采取传唤、拘传、拘留和其他限制人身自由的措施，不准隐瞒、包庇违法犯罪行为，不准私自办理案件或者干扰办案，不准泄露案情或者其他国家秘密、商业秘密、个人隐私。违反规定的，依照《检察人员纪律处分条例（试行）》等规定予以处分；构成犯罪的，依法追究其刑事贝任。,检务公开
200,行贿犯罪档案查询系统可以查询哪些信息？,行贿犯罪档案查询系统，是检察机关根据党的十七大关于反腐败要标本兼治的精神，采取的一项加大反腐败力度的重要措施。根据有关要求，可以查询1997年《刑法》修订实施以来，由检察机关立案侦查并经人民法院裁判的发生在建设、金融、医药卫生、教育和政府采购领域的个人行贿、单位行贿、对单位行贿、介绍贿赂犯罪案件的档案。具体包括因个人行贿或介绍贿赂犯罪被作出刑事处理的犯罪人姓名、性别、年龄、文化程度、身份证号、住所、所在单位、职业或职务、犯罪事实、判决结果，因单位行贿犯罪被作出刑事处理的单位名称、单位性质（机关、企业、事业、团体、所有制类别）、注册地和办公场所、法定代表人、营业执照号、犯罪事实、判决结果。,检务公开
201,单位和个人申请查询行贿犯罪档案时应当提供哪些证明材料？,单位向检察机关申请查询行贿犯罪档案时应当提供书面申请和单位证明，个人向检察机关申请查询行贿犯罪档案时应当提供书面申请和有效身份证件。,检务公开
202,检察机关对受理的查询申请应当如何处置？,检察机关受理查询申请后，应当对申请人是否具备查询条件进行审查。对符合查询条件的，应当在受理查询申请后三日内书面告知查询结果，申请人对查询结果有异议的，检察机关应当复核，受理复核的检察机关应当在三日内提出意见，报检察长批准后予以回复；对不符合查询条件的，应当及时告知申请人并说明原因。第十七部分刑事诉讼中的办案期限规定,检务公开
203,我国有关法律对侦查羁押期限是如何规定的？,我国有关法律对侦查羁押期限作了十分明确、具体的规定：对犯罪嫌疑人逮捕后的侦查羁押期限不得超过两个月；案情复杂、期限届满不能终结的案件，可以延长一个月；对符合《刑事诉讼法》第一百二十六条规定情形的，可以延长两个月；对犯罪嫌疑人可能判处十年有期徒刑以上刑罚，依照《刑事诉讼法》第一百二十六条延长期限届满，仍不能侦查终结的，可以再延长两个月；发现另有重要罪行的，重新计算侦查羁押期限。,检务公开
204,我国有关法律对除逮捕以外的强制措施期限是如何规定的？,我国有关法律规定的强制措施共有五种，除逮捕以外，其余四种强制措施的期限是：传唤、拘传持续时间，不得超过十二小时；拘留时间，不得超过十四日；取保候审时间，不得超过十二个月；监视居住时间，不得超过六个月。,检务公开
205,我国有关法律对审查逮捕期限是如何规定的？,我国有关法律对审查逮捕期限的规定分为以下两种情况：一是犯罪嫌疑人已被拘留的，审查逮捕期限在七日以内。二是犯罪嫌疑人未被拘留的，审查逮捕期限在十五日以内；重大复杂案件，不得超过二十日。,检务公开
206,我国有关法律对审查起诉期限是如何规定的？,我国有关法律对审查起诉期限的规定分为五种情况：一是审查起诉时间为一个月；二是重大、复杂案件，可以延长半个月；三是改变管辖的，从改变后的人民检察院收到案件之日起计算；四是退回补充侦查，以两次为限，每次一个月；五是补充侦查完毕移送审查起诉后，人民检察院重新计算审查起诉期限。第十八部分刑事诉讼中诉讼参与人的权利和义务规定,检务公开
207,侦查和审查起诉阶段犯罪嫌疑人依法享有哪些权利？,根据法律规定，侦查和审查起诉阶段犯罪嫌疑人依法享有以下十三项权利：一是获得法律帮助的权利。犯罪嫌疑人在被侦查机关第一次讯问后或者采取强制措施之日起，可以聘请律师为其提供法律咨询，代理申诉、控告二是委托辩护人的权利。公诉案件自案件移送审查起诉之日起，犯罪嫌疑人有权委托辩护人。人民检察院应当在收到移送审查起诉的案件材料之日起三日内，告知犯罪嫌疑人有权委托辩护人。三是申请回避的权利。对检察人员或者其近亲属和本案有利害关系的，检察人员接受当事人及其委托的人的请客送礼，违反规定会见当事人及其委托的人的，犯罪嫌疑人有权要求其回避。四是使用本民族语言文字进行诉讼的权利。五是申请取保候审的权利。被羁押的犯罪嫌疑人及其法定代理人、近亲属和聘请的律师有权申请取保候审。六是对与本案无关的问题的讯问，有拒绝回答的权利。七是要求解除强制措施的权利。犯罪嫌疑人及其法定代理人、近亲属或者犯罪嫌疑人委托的律师及其他辩护人对于人民检察院采取强制措施超过法定期限的，有权要求解除强制措施。八是申请补充鉴定或者重新鉴定的权利。对用作证据的鉴定结论，犯罪嫌疑人可以申请补充鉴定或重新鉴定。九是对人民检察院做出的逮捕决定申诉的权利。职务犯罪犯罪嫌疑人不服逮捕决定的，可以要求人民检察院重新审查，并附申辩理由。十是对人民检察院做出的不起诉决定申诉的权利。犯罪嫌疑人对人民检察院做出的不起诉决定，可向人民检察院申诉。十一是核对笔录的权利。讯问笔录应当交犯罪嫌疑人核对，如果记载有遗漏或者差错，犯罪嫌疑人可以提出补充或者纠正。十二是对侵权提出控告的权利。对于检察人员侵犯公民诉讼权利和人身侮辱行为，犯罪嫌疑人有提出控告的权利。十三是获得赔偿的权利。犯罪嫌疑人的人身权利、财产权利因人民检察院及其工作人员违法行使职权受到侵犯的，犯罪嫌疑人有获得赔偿的权利。,检务公开
208,侦查和审查起诉阶段犯罪嫌疑人依法应当承担哪些义务？,根据法律规定，侦查和审查起诉阶段犯罪嫌疑人依法应当承担以下两项义务：一是如实回答的义务。犯罪嫌疑人对侦查人员的提问应当如实回答。二是在符合法定条件的情况下承受逮捕、拘留、监视居住、取保候审、拘传等强制措施，接受检察人员的讯问、搜查、扣押等侦查行为。,检务公开
209,侦查和审查起诉阶段被害人依法享有哪些权利？,根据法律规定，侦查和审查起诉阶段被害人依法享有以下八项权利：一是委托诉讼代理人的权利。被害人及其法定代理人、近亲属有权委托诉讼代理人。二是申请回避的权利。对检察人员或者其近亲属和本案有利害关系的，检察人员接受当事人及其委托的人的请客送礼，违反规定会见当事人及其委托的人的，被害人有权要求其回避。三是使用本民族语言文字进行诉讼的权利。四是请求立案的权利。对于人民检察院不立案的决定，被害人可申请复议；对于公安机关应当立案而不立案的，被害人有权向人民检察院提出立案请求。五是对不起诉决定申诉的权利。对人民检察院所做的不起诉的决定，被害人有权在收到不起诉决定书后七日以内向上一级人民检察院申诉，要求提起公诉，或者向人民法院起诉。六是要求赔偿损失的权利。对因被告人的犯罪行为而遭受的物质损失，被害人有权提起附带民事诉讼。七是申请补充鉴定和重新鉴定的权利。对用作证据的鉴定结论，被害人可以申请补充鉴定或者重新鉴定。八是请求抗诉的权利。被害人及其法定代理人不服地方各级人民法院第一审判决的，自收到判决后五日以内，有权请求人民检察院提出抗诉,检务公开
210,侦查和审查起诉阶段被害人依法应当承担哪些义务？,根据法律规定，侦查和审查起诉阶段被害人依法应当承担的义务有两项：一是如实向司法机关陈述案件事实的义务，是接受司法机关对其进行人身检查的义务。,检务公开
211.刑事诉讼中证人依法享有哪些权利？,根据法律规定，刑事诉讼中证人依法享有以下五项权利：一是安全保障权。人民检察院应当保障证人及其近亲属的安全。对证人及其近亲属进行威胁、侮辱、殴打或者打击报复，应当追究刑事责任或者应当给予治安管理处罚的，移送公安机关依法处理。二是充分陈述权。人民检察院必须保证证人有客观地、充分地提供证据的条件，除特殊情况外，可以吸收证人办助调查。三是核对笔录权。询问证人笔录应当交证人核对，如果记载有遗漏或差错，证人可以提出补充或者改正。四是证件知悉权。侦查人员询问证人，必须出示人民检察院的证明文件。五是侵权控告权。证人对于检察人员侵犯公民诉讼权利和人身侮辱的行为，有权提出控告。,,检务公开
212,刑事诉讼中证人依法承担哪些义务？,根据有关法律规定，刑事诉讼中证人依法承担以下两项义务：一是作证的义务。凡是知道案件情况的人，都有作证的义务。二是如实作证的义务。证人应当客观、如实提供证据，不得捏造事实、伪造证据进行诬告。诬告陷害和有意作伪证或者隐匿罪证，应负法律责任。第十九部分刑事诉讼中人民检察院保障律师依法执业规定及开展法律援助工作规定,检务公开
213,法律对律师会见犯罪嫌疑人有哪些规定？,会见犯罪嫌疑人是法律赋予律师辩护权的重要内容，人民检察院应依法予以支持和保障。根据法律规定，人民检察院直接受理立案侦查的案件，受犯罪嫌疑人委托的律师自检察人员第一次讯问犯罪嫌疑人后或者人民检察院对犯罪嫌疑人采取强制措施之日起，可以会见在押的犯罪嫌疑人，向犯罪嫌疑人了解有关案件情况。人民检察院应当将犯罪嫌疑人所涉嫌的罪名及犯罪嫌疑人的关押场所告知受委托的律师。在人民检察院审查起诉期间，辩护律师可以持委托书、律师事务所函会见犯罪嫌疑人。辩护律师会见犯罪嫌疑人时，人民检察院不派员在场。,检务公开
214,侦查阶段律师提出会见犯罪嫌疑人后人民检察院侦查部门应当在多长时间内安排会见？,侦查阶段律师提出会见犯罪嫌疑人后人民检察院侦查部门应当在四十八小时内安排会见。对于人民检察院直接立案侦查的贪污贿赂犯罪等重大复杂的两人以上的共同犯罪案件，律师提出会见在押犯罪嫌疑人的，人民检察院侦查部门应当在律师提出会见要求后五日内安排会见。人民检察院侦查部门安排律师会见犯罪嫌疑人时，可以根据案件情况和工作需要决定是否派员在场。,检务公开
215,律师会见在押犯罪嫌疑人时可以了解哪些情况？,根据法律规定，律师会见在押犯罪嫌疑人时可以了解以下情况：犯罪嫌疑人的基本情况；犯罪嫌疑人是否实施或参与所涉嫌的犯罪；犯罪嫌疑人关于案件事实和情节的陈述；犯罪嫌疑人关于其无罪、罪轻的辩解；被采取强制措施的法律手续是否完备，程序是否合法；被采取强制措施后其人身权利、诉讼权利是否受到侵犯；其他需要了解的与案件有关的情况。,检务公开
216,律师提出变更或解除强制措施申请后人民检察院应当怎么做？,人民检察院直接受理立案侦查的案件，犯罪嫌疑人被决定逮捕的，受犯罪嫌疑人委托的律师可以为其申请取保候审；受犯罪嫌疑人委托的律师认为羁押超过法定期限的，可以要求解除或者变更强制措施。人民检察院应当在七日内做出决定并由侦查部门书面答复受犯罪嫌疑人委托的律师。人民检察院审查移送起诉的案件，辩护律师认为人民检察院采取强制措施超过法定期限的，有权要求解除或者变更强制措施。人民检察院应当在七日内做出书面决定并由公诉部门书面答复辩护律师。,检务公开
217,人民检察院在办理案件中是否听取律师的意见？,根据有关规定，人民检察院在侦查终结前，案件承办人应当听取受委托的律师关于案件的意见，并记明笔录附卷。受委托的律师提出书面意见的，应当附卷。人民检察院对律师提出的证明犯罪嫌疑人无罪、罪轻，或者减轻、免除其刑事责任的意见，办案人员应当认真进行审查,检务公开
218,律师需要查阅案卷材料时人民检察院应当怎么办？,律师查阅案卷材料是法律赋予律师的权利，是律师行使辩护权的基础和保障，人民检察院应当给予支持和帮助。辩护律师以及被害人及其法定代理人或者近亲属委托作为诉讼代理人的律师自人民检察院对案件审查起诉之日起，可以查阅、摘抄、复制本案的诉讼文书、技术性鉴定材料。对于律师要求查阅、摘抄、复制本案的诉讼文书、技术性鉴定材料的，人民检察院公诉部门受理后应当安排办理；不能当日办理的，应当向律师说明理由，并在三日内择定日期，及时通知律师。在人民检察院审查起诉期间和提起公诉以后，辩护律师发现犯罪嫌疑人无罪、罪轻、减轻或者免除处罚的证据材料并向人民检察院提供的，人民检察院公诉部门应当接受并进行审查。,检务公开
219,辩护律师能否向人民检察院提出收集、调取证据申请？,根据法律规定，辩护律师在行使辩护权的过程中，如果认为需要，可以向人民检察院提出收集、调取证据申请。人民检察院应当根据具体情况分别处理：一是辩护律师申请人民检察院向犯罪嫌疑人提供的证人或者其他有关单位和个人收集、调取证据的，对于影响认定案件事实和适用法律的，人民检察院应当依法收集、调取，并制作笔录附卷。二是辩护律师向人民检察院提出申请要求向被害人或者其近亲属、被害人提供的证人收集与本案有关的材料的，人民检察院应当征求被害人或者其近亲属、被害人提供的证人的意见，经过审查，在七日内做出是否许可的决定，并通知申请人。人民检察院没有许可的，应当书面说明理由。,检务公开
220,人民检察院对律师投诉应该怎么处理？,律师在办理刑事案件的过程中，发现人民检察院办案部门和办案人员违反法律和依法执业的规定的，可以向承办案件的人民检察院或者上一级人民检察院投诉。各级人民检察院接到律师投诉后，应当依照有关法律和依法执业的规定的要求及时处理。律师对不依法安排会见进行投诉的，人民检察院应当在接到投诉后五日内进行审查并做出决定，通知办案部门执行。各级人民检察院应当及时向投诉人书面告知处理情况。对于律师投诉检察人员违法办案的，有关人民检察院应当及时调查，确属违法违纪的，应依法依纪追究有关人员的法律和纪律责任。,检务公开
221,人民检察院应在哪个诉讼环节告知诉讼参与人有权申请法律援助？,人民检察院应在以下两个诉讼环节告知诉讼参与人有权申请法律援助：一是人民检察院在对犯罪嫌疑人依法进行第一次讯问后或者采取强制措施之日起，在告知犯罪嫌疑人有权聘请律师为其提供法律咨询以及代理申诉、控告，或者为其申请取保候审的同时，应当告知其如果经济困难，可以向法律援助机构申请法律援助。对于涉及国家秘密的案件，应当告知犯罪嫌疑人申请法律援助需经侦查机关批准二是人民检察院自收到移送审查起诉的案件材料之日起三日内，在告知犯罪嫌疑人有权委托辩护人的同时，应当告知其如果经济困难，可以向法律援助机构申请法律援助；在告知被害人及其法定代理人或者其近亲属有权委托诉讼代理人的同时，应当告知其如果经济困难，可以向法律援助机构申请法律援助。,检务公开
222,人民检察院应当如何办理诉讼参与人的法律援助申请？,人民检察院在收到被羁押的犯罪嫌疑人提出的法律援助申请后，应当在二十四小时内将其申请转交所在地的法律援助机构，并通知申请人的法定代理人、近亲属或者其委托的其他人员协助提供《法律援助条例》第十七条规定的有关证件、证明及案件材料。犯罪嫌疑人的法定代理人或者近亲属地址不详无法通知的，人民检察院应当在转交申请时一并告知法律援助机构。,检务公开
